Exchange Date,Open,OpenEURUSD,OpenUSDCHF,OpenUSDJPY,OpenNZDCAD
31-Mar-06,1.7462,1.2163,1.297,117.33,0.7108
30-Mar-06,1.7336,1.2027,1.3098,117.78,0.7081
29-Mar-06,1.7427,1.2,1.3095,117.92,0.7065
28-Mar-06,1.7465,1.2012,1.3088,116.74,0.7087
27-Mar-06,1.7427,1.2037,1.31,117.53,0.7118
24-Mar-06,1.734,1.197,1.3168,117.91,0.7261
23-Mar-06,1.7467,1.2074,1.3055,116.96,0.7293
22-Mar-06,1.7475,1.2092,1.3012,117.25,0.7252
21-Mar-06,1.7563,1.2167,1.2909,116.29,0.7242
20-Mar-06,1.756,1.2183,1.2894,115.96,0.7369
17-Mar-06,1.7571,1.2175,1.2896,116.81,0.7371
16-Mar-06,1.7474,1.2068,1.2955,117.35,0.7461
15-Mar-06,1.746,1.2011,1.3026,117.59,0.7425
14-Mar-06,1.7327,1.1959,1.3122,118.81,0.741
13-Mar-06,1.7259,1.1914,1.3164,118.89,0.746
10-Mar-06,1.7353,1.1911,1.3136,118.17,0.7499
9-Mar-06,1.7381,1.1923,1.3082,117.81,0.7522
8-Mar-06,1.7357,1.1885,1.3134,117.85,0.7452
7-Mar-06,1.7501,1.2017,1.2984,117.54,0.7489
6-Mar-06,1.7561,1.2048,1.2962,116.31,0.754
3-Mar-06,1.7539,1.2037,1.2982,115.87,0.7557
2-Mar-06,1.7496,1.1916,1.3128,116.08,0.7536
1-Mar-06,1.7536,1.192,1.3118,115.76,0.7519
28-Feb-06,1.7399,1.1846,1.3225,116.17,0.751
27-Feb-06,1.744,1.1871,1.3173,116.79,0.7571
24-Feb-06,1.7521,1.1921,1.3084,117.08,0.7626
23-Feb-06,1.7435,1.191,1.3105,118.51,0.7556
22-Feb-06,1.7458,1.1912,1.3083,118.68,0.7595
21-Feb-06,1.7435,1.1935,1.3076,118.22,0.7692
20-Feb-06,1.7411,1.193,1.3104,118.13,0.7673
17-Feb-06,1.7393,1.1903,1.3099,117.58,0.7747
16-Feb-06,1.7408,1.189,1.3104,117.85,0.779
15-Feb-06,1.7363,1.1914,1.3075,117.38,0.7806
14-Feb-06,1.7411,1.1899,1.3074,117.75,0.779
13-Feb-06,1.7441,1.19,1.3077,117.77,0.7816
10-Feb-06,1.7408,1.1979,1.2994,118.82,0.7772
9-Feb-06,1.7414,1.1962,1.299,118.51,0.7758
8-Feb-06,1.7448,1.1977,1.2972,117.94,0.782
7-Feb-06,1.7477,1.1965,1.3008,119.01,0.7803
6-Feb-06,1.7623,1.2035,1.2927,118.83,0.7863
3-Feb-06,1.7801,1.209,1.2857,118.54,0.7895
2-Feb-06,1.7734,1.2056,1.2905,118.08,0.7799
1-Feb-06,1.7785,1.2152,1.2782,117.23,0.7835
31-Jan-06,1.7686,1.2091,1.2867,117.59,0.7809
30-Jan-06,1.7685,1.2105,1.2845,117.23,0.7812
27-Jan-06,1.7803,1.2204,1.2698,116.38,0.7857
26-Jan-06,1.7837,1.2242,1.2642,115.78,0.7905
25-Jan-06,1.7849,1.2283,1.2605,114.66,0.7864
24-Jan-06,1.7876,1.2307,1.2564,114.39,0.7857
23-Jan-06,1.7705,1.2139,1.2757,115.24,0.7841
20-Jan-06,1.7599,1.2098,1.2837,115.39,0.7896
19-Jan-06,1.7639,1.2115,1.2793,115.2,0.8019
18-Jan-06,1.7674,1.2104,1.2802,115.44,0.8027
17-Jan-06,1.7676,1.2117,1.2795,114.91,0.8043
16-Jan-06,1.7772,1.2148,1.2752,114.18,0.8091
13-Jan-06,1.76,1.2034,1.2853,114.31,0.805
