Episode,NumStateVars,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
46,2,0.7137539412238849,1.0937956559851951,-0.3800417147613102,63,123,66,
47,2,1.06092032158248,1.0742457007517239,-0.013325379169243812,78,112,62,
48,2,1.2040584426649643,0.5767513359197709,0.6273071067451934,79,105,68,
49,2,0.6521960025082281,0.8428581022093882,-0.1906620997011601,82,91,79,
50,2,0.738739055282574,1.1966480446927374,-0.45790898941016345,70,97,85,
51,2,0.7386067362517722,1.1109729561703456,-0.37236621991857344,74,103,75,
52,2,0.7446027381454522,1.066862013851892,-0.32225927570643986,74,109,69,
53,2,0.9525748181455289,1.1382228490832127,-0.18564803093768378,79,99,74,
54,2,0.6942704356623586,1.1396914885286953,-0.4454210528663367,68,125,59,
55,2,0.9019409618867377,1.2603183546978447,-0.35837739281110703,76,111,65,
56,2,0.8658554947781633,1.056293261760136,-0.19043776698197268,72,121,59,
57,2,0.8204432734657607,1.5827367841409712,-0.7622935106752105,88,104,60,
58,2,0.7060137224514378,1.0652573529411746,-0.35924363048973684,82,98,72,
59,2,0.8119496466245092,1.1895424836601296,-0.3775928370356204,84,106,62,
60,2,0.7367946363207359,1.1148410702035225,-0.3780464338827866,74,124,54,
61,2,0.7375712935510167,1.1235643564356412,-0.38599306288462454,85,106,61,
62,2,0.9411511797502958,1.004275026718915,-0.06312384696861928,80,114,58,
63,2,0.6736893563829577,0.9723534384167879,-0.2986640820338302,78,105,69,
64,2,0.7043165850588651,1.1107100429498318,-0.4063934578909667,82,110,60,
65,2,0.6920320850233539,1.1238065177937338,-0.43177443277037986,87,108,57,
66,2,0.7501037607913914,1.2342375366568916,-0.4841337758655002,81,102,69,
67,2,1.046710087478832,1.4979034221560936,-0.45119333467726164,75,110,67,
68,2,0.7391803529824745,0.9357692827232201,-0.1965889297407456,82,114,56,
69,2,0.9769871038333159,1.1467301862278054,-0.16974308239448954,86,114,52,
70,2,0.62119100135005,0.929366197183098,-0.308175195833048,76,122,54,
71,2,0.8499207115238661,0.9178364987613546,-0.06791578723748859,75,122,55,
72,2,0.8917272193460143,1.172029859558855,-0.2803026402128407,77,112,63,
73,2,0.8530523966295486,1.0248760623229447,-0.17182366569339613,86,109,57,
74,2,0.6013509157102922,0.622944830105955,-0.021593914395662828,78,117,57,
75,2,0.7525443291812296,1.074638233054074,-0.3220939038728444,76,118,58,
76,2,0.5985736484172453,1.0576212384041026,-0.45904758998685735,75,123,54,
77,2,0.8623513296364159,1.0964782710098735,-0.23412694137345758,61,125,66,
78,2,1.0449215873826856,1.066862013851892,-0.021940426469206464,80,124,48,
79,2,0.7931506672374771,1.2274210084816861,-0.43427034124420905,78,112,62,
80,2,0.9094459202792006,1.1778021620742916,-0.268356241795091,82,111,59,
81,2,0.7097247988216991,1.254108304841733,-0.5443835060200338,71,125,56,
