Episode,NumStateVars,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
45,1,0.9386174697299783,0.9395355324639086,-0.0009180627339303582,114,79,59,
46,1,0.9465058024877957,1.0937956559851951,-0.14728985349739943,105,78,69,
47,1,0.8099071262726522,1.0742457007517239,-0.2643385744790717,106,83,63,
48,1,0.5718032069737768,0.5767513359197709,-0.004948128945994057,113,68,71,
49,1,0.6362904926774853,0.8428581022093882,-0.2065676095319029,93,78,81,
50,1,0.7844399980030523,1.1966480446927374,-0.41220804668968514,92,75,85,
51,1,0.8053341212804267,1.1109729561703456,-0.30563883488991894,96,74,82,
52,1,0.7564118319756685,1.066862013851892,-0.31045018187622353,98,83,71,
53,1,0.8746834976444043,1.1382228490832127,-0.26353935143880836,111,67,74,
54,1,0.7442236142983221,1.1396914885286953,-0.3954678742303732,113,80,59,
55,1,0.8041416071371686,1.2603183546978447,-0.45617674756067605,101,86,65,
56,1,0.947211955042559,1.056293261760136,-0.10908130671757699,100,93,59,
57,1,0.903132253395238,1.5827367841409712,-0.6796045307457332,120,71,61,
58,1,0.8741549312723798,1.0652573529411746,-0.19110242166879488,120,62,70,
59,1,0.8137548066830337,1.1895424836601296,-0.3757876769770959,111,79,62,
60,1,0.840365822441353,1.1148410702035225,-0.27447524776216947,120,78,54,
61,1,0.8649990590373092,1.1235643564356412,-0.258565297398332,117,74,61,
62,1,0.8360115599418838,1.004275026718915,-0.1682634667770313,126,68,58,
63,1,0.8089410216997327,0.9723534384167879,-0.1634124167170552,115,68,69,
64,1,0.7578638895623451,1.1107100429498318,-0.3528461533874867,116,76,60,
65,1,0.706578585320014,1.1238065177937338,-0.4172279324737197,128,67,57,
66,1,0.8426231506320239,1.2342375366568916,-0.39161438602486776,110,73,69,
67,1,0.7672407990205772,1.4979034221560936,-0.7306626231355164,121,64,67,
68,1,0.8568667124633454,0.9357692827232201,-0.07890257025987468,124,72,56,
69,1,0.7527203740520777,1.1467301862278054,-0.3940098121757277,123,77,52,
70,1,0.9642382612508064,0.929366197183098,0.034872064067708375,127,70,55,
71,1,0.8105387533553895,0.9178364987613546,-0.10729774540596515,120,77,55,
72,1,0.8542913051031773,1.172029859558855,-0.31773855445567767,109,77,66,
73,1,0.8071010288211372,1.0248760623229447,-0.2177750335018075,130,65,57,
74,1,0.8182036518377385,0.622944830105955,0.19525882173178344,141,54,57,
75,1,0.7989862177999257,1.074638233054074,-0.2756520152541483,120,74,58,
76,1,0.8042152357913797,1.0576212384041026,-0.25340600261272295,141,57,54,
77,1,0.9627268784035714,1.0964782710098735,-0.1337513926063021,123,63,66,
78,1,0.7543292168268776,1.066862013851892,-0.31253279702501446,144,60,48,
79,1,0.8896121795120372,1.2274210084816861,-0.3378088289696489,129,61,62,
80,1,0.8513984059831984,1.1778021620742916,-0.3264037560910932,141,52,59,
81,1,1.4114782181642473,1.254108304841733,0.15736991332251438,132,64,56,
