Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
29,19,0,0,250,1.0317127870409042,1.1234110169491527,-0.0916982299082485,68,92,92,
30,19,0,0,250,0.9137950646073751,1.2762813715093673,-0.36248630690199213,92,73,87,
31,19,0,0,250,0.7708570534813615,1.2071975623816191,-0.43634050890025766,83,77,92,
32,19,0,0,250,0.7500241211716939,1.1766101972338154,-0.4265860760621215,79,89,84,
33,19,0,0,250,1.299941769444013,1.0762143214822226,0.22372744796179034,89,78,85,
34,19,0,0,250,1.137129520852337,1.1381860803492034,-0.0010565594968663383,84,77,91,
35,19,0,0,250,1.58306758430873,1.0240910104840522,0.5589765738246779,83,79,90,
36,19,0,0,250,0.9054170155486787,1.1959950624057036,-0.29057804685702493,82,73,97,
37,19,0,0,250,1.1257387625973387,1.1524071788054315,-0.026668416208092793,88,78,86,
38,19,0,0,250,0.9555929383178025,1.0990490006447453,-0.14345606232694286,98,76,78,
39,19,0,0,250,1.0518902540044945,1.09914463452566,-0.04725438052116537,88,91,73,
40,19,0,0,250,0.8843521763095562,1.1291615289765726,-0.24480935266701642,97,81,74,
41,19,0,0,250,0.9841060463696807,1.1599784250269705,-0.17587237865728977,66,94,92,
42,19,0,0,250,1.006647016788974,1.1250885060184095,-0.11844148922943543,69,94,89,
43,19,0,0,250,1.1548379164269766,0.989525990159301,0.16531192626767566,88,80,84,
44,19,0,0,250,1.058944097524647,1.2203297037532697,-0.16138560622862275,79,93,80,
45,19,0,0,250,0.9139197986230551,1.203845587151909,-0.28992578852885387,92,86,74,
46,19,0,0,250,1.0361649583897043,1.1483101574730625,-0.11214519908335818,69,89,94,
47,19,0,0,250,0.9675353470093876,1.1084884248751716,-0.14095307786578404,92,86,74,
48,19,0,0,250,1.1386114929763604,1.0584202832804077,0.08019120969595273,88,73,91,
49,19,0,0,250,1.0236013083472293,0.9323813523729529,0.09121995597427635,75,79,98,
50,19,0,0,250,1.0299698258935714,1.1524071788054315,-0.12243735291186009,67,76,109,
51,19,0,0,250,0.9008447869183919,0.9422885572139308,-0.04144377029553892,76,83,93,
52,19,0,0,250,2.10288725383508,0.8020679468242239,1.300819307010856,70,89,93,
53,19,0,0,250,0.9574299934303291,1.1304250891795464,-0.17299509574921734,78,84,90,
54,19,0,0,250,1.298156862439739,0.6062263641274981,0.691930498312241,78,94,80,
55,19,0,0,250,1.037657316453869,0.9990366088631993,0.0386207075906696,81,90,81,
56,19,0,0,250,1.0494635898480893,1.1223601132157643,-0.07289652336767505,77,87,88,
57,19,0,0,250,1.2178705695368046,1.0958058152500223,0.12206475428678232,90,75,87,
58,19,0,0,250,1.263562677022858,0.5811606961468135,0.6824019808760445,84,73,95,
59,19,0,0,250,1.4280561881480325,1.11810261374637,0.3099535744016624,83,90,79,
60,19,0,0,250,1.1007487028969434,1.1369259316530074,-0.036177228756063995,80,101,71,
61,19,0,0,250,0.9977214372850538,1.1446017207882342,-0.1468802835031804,78,89,85,
62,19,0,0,250,1.246831040791743,1.1759673495016083,0.07086369129013459,88,82,82,
63,19,0,0,250,1.0586258290624337,1.1667096109250206,-0.10808378186258683,76,83,93,
64,19,0,0,250,1.17582320647652,1.1651903935713632,0.010632812905156719,85,83,84,
65,19,0,0,250,1.0722762676954507,1.2392711579956848,-0.16699489030023407,94,70,88,
66,19,0,0,250,1.5204407791473524,1.0503850016739202,0.4700557774734322,79,84,89,
67,19,0,0,250,1.1965912917459298,1.0069074254823935,0.18968386626353628,80,78,94,
68,19,0,0,250,1.1625404132068073,1.1290835985927297,0.03345681461407768,78,89,85,
69,19,0,0,250,1.1880200753279768,1.060715142788575,0.12730493253940178,74,97,81,
70,19,0,0,250,1.3277728059905163,1.1190899395663,0.20868286642421618,82,87,83,
