Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,stdA,stdM,Strategy Wins (%)
15,3,0.001,0.0001,250,0.7969205964125372,0.9811096489366227,-0.18418905252408546,92,80,80,0.0010861834386585827,0.001005500405240087,
16,3,0.001,0.0001,250,0.8487446988665781,1.0080289599480186,-0.15928426108144045,104,64,84,0.0015946804836360752,0.0019093508424227654,
17,3,0.001,0.0001,250,0.796024250327802,0.9995807303676993,-0.20355648003989735,78,84,90,0.0008213053814172961,0.0004897877786422629,
18,3,0.001,0.0001,250,0.7873406267171466,0.9743397557426898,-0.18699912902554328,88,77,87,0.0010288320379430223,0.0010045342199481806,
19,3,0.001,0.0001,250,0.7976790932291226,0.9987028474590454,-0.2010237542299228,78,96,78,0.0007873324254075923,0.0004552866946192505,
20,3,0.001,0.0001,250,0.8038735763620346,1.0119969791779047,-0.20812340281587005,74,90,88,0.001007914123088723,0.0008528403334029286,
21,3,0.001,0.0001,250,0.8090076286413356,1.0175537083018462,-0.20854607966051064,89,95,68,0.0007884901760088078,0.0004288801325702645,
22,3,0.001,0.0001,250,0.8107050340165426,0.9934748623603785,-0.18276982834383593,105,76,71,0.0014527142684140812,0.0018268760705782761,
23,3,0.001,0.0001,250,0.7938150177119374,1.0036197571395502,-0.2098047394276128,70,96,86,0.0008088961764471148,0.0004332833577760973,
24,3,0.001,0.0001,250,0.790596874992403,1.007494486199438,-0.21689761120703488,79,94,79,0.0008879529706478492,0.000654480567155527,
25,3,0.001,0.0001,250,0.7950661188529193,1.007127928720712,-0.21206180986779266,95,73,84,0.0008616537826953428,0.0007457921460275511,
26,3,0.001,0.0001,250,0.7867355032936876,1.01352869986169,-0.22679319656800234,70,103,79,0.0008152395562961148,0.0004026290833931061,
27,3,0.001,0.0001,250,0.8071833628292088,1.0180919954603125,-0.2109086326311037,97,89,66,0.0008933952372900077,0.0008569594884181138,
28,3,0.001,0.0001,250,0.8205244174474158,0.9706783953085425,-0.15015397786112672,100,69,83,0.0009962142233162351,0.0012009489632238293,
29,3,0.001,0.0001,250,0.8236520795391844,0.9860833160812447,-0.16243123654206026,62,92,98,0.001538802246476517,0.0017009727078208426,
30,3,0.001,0.0001,250,0.8199182828648603,1.0201235618032867,-0.20020527893842632,108,66,78,0.0008240927196816922,0.0006593783882912339,
31,3,0.001,0.0001,250,0.8231138915724959,0.9815280748102486,-0.1584141832377527,89,77,86,0.0008408973704172446,0.0007442410014107043,
32,3,0.001,0.0001,250,0.8115390007669335,1.0160649397564736,-0.20452593898954008,75,87,90,0.000751924916503224,0.00030967056012700213,
33,3,0.001,0.0001,250,0.8096344239649171,1.0180529553356537,-0.20841853137073652,97,74,81,0.0009453617329888775,0.0007750513507823478,
34,3,0.001,0.0001,250,0.8165649941048612,0.9746623482494988,-0.15809735414463766,95,73,84,0.001206671764690485,0.0012218480982312317,
35,3,0.001,0.0001,250,0.7852160813199921,1.0149978974910034,-0.22978181617101134,80,74,98,0.0018892851826202589,0.0019918287209700347,
36,3,0.001,0.0001,250,0.7910061113148813,0.9955196176740414,-0.2045135063591601,77,83,92,0.0008541268228225141,0.0005898556072691152,
37,3,0.001,0.0001,250,0.817099281673673,1.02244965335094,-0.205350371677267,98,80,74,0.0009949654304994373,0.0010973673861829295,
38,3,0.001,0.0001,250,0.8179474447264792,0.9758239327582389,-0.1578764880317597,107,72,73,0.001107747163810372,0.0011011396876483997,
39,3,0.001,0.0001,250,0.8239596144848049,0.9991825955734416,-0.17522298108863665,82,82,88,0.0007120236618730158,0.00041466923085329286,
40,3,0.001,0.0001,250,0.8092031172233796,0.9997024821489275,-0.19049936492554798,90,94,68,0.0007568365367135378,0.0004808244751669085,
41,3,0.001,0.0001,250,0.8115367120912501,1.001262133694379,-0.18972542160312889,55,97,100,0.0016833452778652453,0.0018090846972251542,
42,3,0.001,0.0001,250,0.7999567977110562,0.9819317514882191,-0.18197495377716288,55,114,83,0.0009465058160587121,0.000525484608825294,
43,3,0.001,0.0001,250,0.8182133444952691,1.0288957688338491,-0.2106824243385801,87,77,88,0.0010366954330414439,0.0009902072705354676,
44,3,0.001,0.0001,250,0.810069702139271,1.0169560996656242,-0.20688639752635318,65,117,70,0.0010041818094467048,0.0008182095607476806,
